"","song","artist","lyrics"
"88","Nel","Fuerza Regida","     Hoy pensé en salir a buscarte, pero nel Llamarte, pero nel Otra noche, otro hotel Palos van más de tre' La loca ni sé quién es La enamoró mi Cartier Sí, bien rica, pero nel Culoncita, pero nel    Colombianas, puras de diez, camarada Chanel, Prada, mami, me prendes, me mamas Si tú quieres, te pongo Jeepeta y casa Pieles verdes, esta loquera me encanta    Baby, es que me perdí en tus ojos Desde esa noche, mami, me tienes bien loco Whiskey y tequila, y que no falte la de coco Mami, yo te toco, quítame el antojo    Hoy pensé en salir a buscarte, pero nel Llamarte, pero nel Otra noche, otro hotel Palos van más de tre' La loca ni sé quién es La enamoró mi Cartier Sí, bien rica, pero nel Culoncita, pero nel   Tú mi muñequita aferrafter Pa'l tusi una experta, una master Preciosa, una alérgica al látex Cómo lo bate, cómo lo bate (Duro) Tú mi muñequita aferrafter Pa'l tusi una experta, una master Preciosa, una alérgica al látex Cómo lo bate, cómo lo bate    Baby, es que me perdí en tus ojos Desde esa noche, mami, me tienes bien loco Whiskey y tequila, y que no falte la de coco Mami, yo te toco, quítame el antojo    Tú mi muñequita aferrafter Cómo lo bate, cómo lo bate"
"89","Balloon","Tyler, The Creator Featuring Doechii",NA
"90","Judge Judy","Tyler, The Creator",NA
"91","Wondering Why","The Red Clay Strays","  She comes from silver spoon, golden rule, private school, never miss Sunday Church And I come from blue-collar, low-dollar, out here where concrete meets old red dirt And I don't know what happened, but it sure don't add up on paper But when I close my eyes late at night, you can bet I thank my maker    She keeps on loving me, loves me the way I am She's not just along for the ride, she's my biggest fan Lord, it's a little piece of Heavеn when we lay down at night She keeps on loving mе and I keep on wondering why    She's got a wicked smile, angel eyes, every guy wanting to hold her close She's as pretty as sin like the sun sinking down on the California coast    She keeps on loving me, loves me the way I am She's not just along for the ride, she's my biggest fan Lord, it's a little piece of Heaven when we lay down at night She keeps on loving me and I keep on wondering why    I don't know what happened, but it sure don't add up on paper And as long as she lets me, I'll take her wherever she wants me to take her   She keeps on loving me, loves me the way I am She's not just along for the ride, she's my biggest fan And it's a little piece of Heaven when we lay down at night But she keeps on loving me and I keep on wondering why She keeps on loving me and I keep on wondering why"
"92","On One Tonight","Gunna","  You niggas been hatin' way too long, yeah, yeah Too grown, I bought that—, oh Yeah (That's a good one, P) Yeah, yeah    I went to AP, spent two-hunnid K They sold me the frost, rainbow face They hope I fall off, ain't no way I might be 'ight, but it ain't okay Niggas had left, niggas went right, I went left and stayed left, it ain't nothin' the same They run they lips, I put my prep in a step and my foot in a pedal, a Range Spend this shit like I'm ahead of the game You said they gon' drop, and it better be flame Lil' mommy gon' top, she gon' suck 'til I'm drained My top-five topper, in love with her brain Across the sea, huh, Hatteras in Mykonos, Greece, man, they love me in Spain (Yeah, yeah) I'm kickin' P, ah, land on the jet with a bitch with a big-body frame (Yeah) Dressed like a biker, rockin' black Margiela loafers, the one with the lace (Yeah, yeah) Pulled up in title, yeah, right I don't think these lil' niggas really wanna race (Yeah, yeah) I got the fire, I spit crack I got the fans, gon' recite what I say (Yeah, yeah) Pass me that lighter, this ain't no thrax This some Bluscotti, I smoke to the face (Yeah, yeah) Made it to the light and they still throwin' shade I was locked up, takin' chips for a trade (Yeah, yeah) I'm the boss, make more than minimum wage These blue hunnids keepin' my mental straight (Yeah, yeah) Talkin' to God in the middle of the day Ain't no human bein' determine my fate (Yeah, yeah) The more I get it in, the more they gon' hate That lil'-body Benz, I know what you paid (Yeah-ah, yeah) Don't tempt me, I'm on one tonight (Yeah-ah, yeah) Don't play with me, play with a mic' (Yeah-ah, yeah) She suck it when we stop at the light These rappers ain't copyin' right (Yeah-ah, yeah) Get dressed and pop-out in the night Too trim, I got 'em enticed (Enticed)"
"93","Brokey","Latto","  Hmm, huh, huh, huh COUPE    When a real one hold you down, bae, you supposed to drown You ain't never fuck with no boss bitch, I turned you out (Turned you out) You won't catch me in no Shark boots, y'all burnt 'em out (Burnt 'em out) Bitches gotta wait till they birthday to go out of town    Yeah, I got my twin with me, you know what the fuck we doin' Twenty black suburbans wherever the fuck we go, bitch Two Lambs, yeah, four Bentley trucks (Big Latto, mm), and twenty Hellcats (Big Latto, uh-huh) Get on with a real nigga though (I'm a Big Latto, huh, huh)    When a real one hold you down, bae, you supposed to drown You ain't never fuck with no boss bitch, I turned you out (Turned you out) You won't catch me in no Shark boots, y'all burnt 'em out (Burnt 'еm out) Bitches gotta wait till they birthday to go out of town    Brokey, yеah, I talk a lot of shit (Haha) He like, ""Who you think you is?,"" nigga, not your bitch Brokey, nigga, not your ho (No) Think he got one up on me, whole time this shit like 3 and 0, twin (Haha)   Bitch, I be going in (Going in) Bitches clearly want my life and it's so evident (Evident) Cook, clean and fuck him right, l'm so heaven-sent (Heaven-sent) What I look like asking him about another bitch? (Another bitch, hmm) Might tell you once, won't tell you twice If hoes shut up we'd be alright, see, y'all gon tweet and I'm gon fight, facts (Boaw) Yeah, these hoes sweet as apple pie Ain't got no car, so hoes dickride, but bro said y'all can't even do that What? (Uh) Why? (Uh) How? (Uh) When? (Uh) Where? Just let me know how you want to play it, bitch, you know I'm there (Pop) If it was smoke, then I would say it, bitch, I'm crystal clear (Pop) Left my panties at his mansion like a souvenir    When a real one hold you down, bae, you supposed to drown You ain't never fuck with no boss bitch, I turned you out (Turned you out) You won't catch me in no Shark boots, y'all burnt 'em out (Burnt 'em out) Bitches gotta wait till they birthday to go out of town    Brokey, yeah, I talk a lot of shit (Haha) He like, ""Who you think you is?,"" nigga, not your bitch Brokey, nigga, not your ho (No) Think he got one up on me, whole time this shit like 3 and 0, twin   Misses Can't-Be-Fucked-With, hoes ain't talking 'bout nothing Everytime I look up, I'm the topic of discussion I'm in a fast coupe (Skrrr), you in a bad mood (Uh) Funky bitch, you left your pussy in the bathroom (Ew, haha) You gon' meet him halfway (Huh?) I'm gon' meet him at the bank (Wrrr), I'm the type to make him wait (Shhh) You the type to give it up (Uh), it's hard for me to give a fuck (Bitch) You gon' let him plead his case (Huh), a bitch like me can't go for nothing (Nothing) Huh? Know what's in my cup (Cup) When I leave the club, consider that nigga fucked (Fucked) When you mention me (Huh), don't forget rich as fuck (Rich as fuck) Pussy squeaky clean, but I got junk up in the trunk (Damn)    When a real one hold you down, bae, you supposed to drown You ain't never fuck with no boss bitch, I turned you out (Turned you out) You won't catch me in no Shark boots, y'all burnt 'em out (Burnt 'em out) Bitches gotta wait till they birthday to go out of town    Brokey, yeah, I talk a lot of shit (Haha) He like, ""Who you think you is?,"" nigga, not your bitch Brokey, nigga, not your ho (No) Think he got one up on me, whole time this shit like 3 and 0, twin   Brokey (These bitches broke), tuh Brokey (These bitches broke), hahaha, tuh Brokey (These bitches broke), tuh Big Latto, Big Latto, Big Latto"
"94","Take Your Mask Off","Tyler, The Creator Featuring Daniel Caesar & Latoiya Williams",NA
"95","Thick Of It","KSI Featuring Trippie Redd","  I'm in the thick of it, everybody knows They know me where it snows, I skied in and they froze I don't know no nothin' 'bout no ice, I'm just cold Forty somethin' milli' subs or so, I've been told    I'm in my prime, and this ain't even final form They knocked me down, but still, my feet, they find the floor I went from living rooms straight out to sold-out tours Life's a fight, but trust, I'm ready for the war    Woah-oh-oh This is how the story goes Woah-oh-oh I guess this is how the story goes    I'm in the thick of it, everybody knows They know me where it snows, I skied in and they froze I don't know no nothin' 'bout no ice, I'm just cold Forty somethin' milli' subs or so, I'vе been told    From the screen to the ring, to the pеn, to the king Where's my crown? That's my bling, always drama when I ring See, I believe that if I see it in my heart Smash through the ceiling 'cause I'm reaching for the stars   Woah-oh-oh This is how the story goes Woah-oh-oh I guess this is how the story goes    I'm in the thick of it, everybody knows They know me where it snows, I skied in and they froze (Woo) I don't know no nothin' 'bout no ice, I'm just cold Forty somethin' milli' subs or so, I've been told    Highway to heaven, I'm just cruisin' by my lone' They cast me out, left me for dead, them people cold My faith in God, mind in the sun, I'm 'bout to sow (Yeah) My life is hard, I took the wheel, I cracked the code (Yeah-yeah, woah-oh-oh) Ain't nobody gon' save you, man, this life will break you (Yeah, woah-oh-oh) In the thick of it, this is how the story goes    I'm in the thick of it, everybody knows They know me where it snows, I skied in and they froze (Woo) I don't know no nothin' 'bout no ice, I'm just cold Forty somethin' milli' subs or so, I've been told I'm in the thick of it, everybody knows (Everybody knows) They know me where it snows, I skied in and they froze (Yeah) I don't know no nothin' 'bout no ice, I'm just cold Forty somethin' milli' subs or so, I've been told (Ooh-ooh)   Woah-oh-oh (Nah-nah-nah-nah, ayy, ayy) This is how the story goes (Nah, nah) Woah-oh-oh I guess this is how the story goes"
"96","Prove It","21 Savage & Summer Walker","  You are the love— You are the love of my life (Precious little baby) I dedicate my love to you You are my child, oh My child (Yeah, woah)    I'm pourin' up Wocky in Greece I came a long way from the east She leavin' her cream on the sheets My brother say he want a niece When I'm with you, it's a safe space Baby, you bringin' me peace You know how it get in the streets Ain't none of it shallow, it's deep Yeah I wanna cuddle for weeks Your mama'nem think that you innocent I know you turn into a freak Don't really carе about your exes Whatevеr it is, it could be They playin', I'm makin 'em see I know you swingin' them hoes like the D I had to comb out the dreads She fell in love with the braids Gutter bitch, she cook and clean And she'll load up the Ks Your body got me in a daze It don't matter the look, you get slayed Her face card never decline Man, fuck all that makeup, you fine Better tell all them niggas you mine She a dollar, way more than a dime When I'm with you, I get nervous It gotta be love, it's a sign Yeah I don't care where we goin', I'm ridin' Fuck what you bring to the table 'Cause bae you the table, I'm eatin', let's dine (Oh-oh)   You know you my baby, you know you my twin If they disrespect me, then it's comin' to an end If them niggas play with me, we know that you gon' sin Baby, if only you knew How much I do love you How much I do trust you I pray these hoes don't make me have to prove it    You need a nigga to mold you (I know) You need a nigga to hold you (I do) He a lil' boy and I told you Why you keep lookin' for closure? Hit Eliantte and froze her (Yeah, yeah) Now you a bear, polar Play with her cat, Doja (Oh) Throw that shit back like you 'posed to Trust me, I'm takin' it easy I really wanna get neeky You actin' shy, but you freaky (Oh) I want a piece, no Reese (Oh) She sayin', ""Bae, come meet me At the salon, I'm on Peachtree"" She know I'm pullin' up BP (Oh yeah) Ten Presidentials, no D.C.  She love Louis and CC (Oh) No 2K, I got VC Grab on that ass when she greet me I heard of your nigga, he sweet tea You cuffed me, don't ever release me (No, baby) Talk about me in your stories Bae, sub-tweet me   You know you my baby, you know you my twin If they disrespect me, then it's comin' to an end If them niggas play with me, we know that you gon' sin Baby, if only you knew How much I do love you How much I do trust you I pray these hoes don't make me have to prove it    You are the love of my life I dedicate I dedicate it all to you"
"97","4x4xU","Lainey Wilson","  I'm the kind to take the keys Don't sit in a shotgun seat 'Less I want to And you make me want to Hypnotized by the white lines Your hands ten and two on this heart of mine Makes me feel at home Yeah, boy, I'm right at home    In a 4x4 by you, babe From the Bayou to Kentucky City to the country From here to Timbuktu Boy, after a long day Ya know there ain't no wrong way To drive my crazy crazy In a 4x4 by you    Parked out in the driveway Backed up to a fire on a tailgate Feet on the dashboard Oh, nothin' I love more Ninety to nothing, but we in slow motion Up in the mountains or down by the ocean It's all the same to me Ain't nowhere I'd rather be   Than in a 4x4 by you, babe NYC to LA City to the country From here to Kalamazoo Boy, after a long day You know there ain't no wrong way To drive my crazy crazy In a 4x4 by you    Right there beside you Every morning sun Every afternoon Fly me to the stars Fly me to the moon    In a 4x4 by you, babe From the Bayou to Kentucky City to the country From here to Timbuktu Boy, after a long day You know there ain't no wrong way To drive my crazy crazy In a 4x4 by you   And, boy, after a long day You know there ain't no wrong way To drive my crazy crazy In a 4x4 by you Ooh, ooh Ooh, ooh Ooh, ooh Ooh, ooh"
"98","I Ain't Sayin'","Jordan Davis","  That beer ain't gettin' any colder And I don't know who it's waitin' for You keep checkin' over your shoulder Like somebody's 'bout to walk through the door    And yeah, I bet he's got a real good excuse But right now, I wouldn't wanna be in his boots I'm lookin' at what he's got to lose Sittin' all alone tonight, look    I ain't sayin' I'm an angel, baby if you can't tell No, I ain't the take-you-home-to-mama type And I ain't sayin' he's a bad guy, all I know is that guy Must've up and lost his mind tonight 'Cause you're down to the ice in that drink He didn't buy, I'm here and he's MIA That ain't no kinda love, I ain't sayin' I'm the one I'm just sayin' he sure as hell ain't He sure as hеll ain't (He sure as hell ain't) (Hе sure as hell ain't)    Judgin' by the way you just smiled I ain't tellin' you nothin' you don't already know He let you down, but here's the upside I can give your move on somewhere to go   I ain't tryin' change that Ms. to a Mrs But he don't know what he's missin', girl, listen    I ain't sayin' I'm an angel, baby if you can't tell No, I ain't the take-you-home-to-mama type And I ain't sayin' he's a bad guy, all I know is that guy Must've up and lost his mind tonight 'Cause you're down to the ice in that drink He didn't buy, I'm here and he's MIA That ain't no kinda love, I ain't sayin' I'm the one I'm just sayin' he sure as hell ain't He sure as hell ain't He sure as hell ain't    Yeah, I bet he's got a real good excuse But right now, I wouldn't wanna be in his boots I'm lookin' at what he's got to lose Sittin' all alone tonight, look    I ain't sayin' I'm an angel, baby if you can't tell No, I ain't the take-you-home-to-mama type And I ain't sayin' he's a bad guy, all I know is that guy Must've up and lost his mind tonight 'Cause you're down to the ice in that drink He didn't buy, I'm here and he's MIA That ain't no kinda love, I ain't sayin' I'm the one I'm just sayin' he sure as hell ain't He sure as hell ain't   (He sure as hell ain't) (He sure as hell ain't) (He sure as hell ain't) (He sure as hell ain't)"
"99","The Largest","BigXthaPlug","  (Tony Coles) Ayy (Let the band play)    Safe to say I'm the biggest, the largest Been steppin' on shit since my mama stayed in them apartments, regardless My daddy told me keep the heat even when I'm in foreigns, I'm heartless 'Cause these niggas is hatin' on me just because I'm the biggest, the largest The biggest, the largest    30K on my wrist just for hard times These niggas just mad 'cause thеy bitch in my archives Jordan came back, throw the 45 If you play, thеn you lay right there by yo' own kind Pour up a four in a Loko Tell 'em run this bitch back like Soso Got rap shit here in a chokehold Did a show out in Austin, shoutout to Bobo Moved out the trenches, now look how we live Told my BM to furnish the crib Walk out the mall with some shoes for the kids Deposit a check, shit, my bank full of M's Paid up my rent, now I'm up for the year The view look crazy from here What I paid for some dogs, could've bought me veneers Texas piece on my neck, could've bought your career   Safe to say I'm the biggest, the largest Been steppin' on shit since my mama stayed in them apartments, regardless My daddy told me keep the heat even when I'm in foreigns, I'm heartless 'Cause these niggas is hatin' on me just because I'm the biggest, the largest The biggest, the largest    Ayy, stuffin' Cali' plug weed in the blunt Let my lil' brother roll him a Dutch My lil' boy get whatever he want Madam T don't be askin' for much Pourin' lean on the nuggets of runtz Spill the rest of that drank in a punch Left wrist on some ""I had to stunt"" Right wrist, I just did it because 600 the label, you know we comin' Tell them niggas they ain't takin' nothin' Standin' on business, we shootin' or punchin' Hatin'-ass nigga, go get you some money I just got off a tour, finna go on another one Album done, finna drop me another one Couple of M's, finna run up another one Super Bowl rings, shit, I had to go double 'em    Safe to say I'm the biggest, the largest Been steppin' on shit since my mama stayed in them apartments, regardless My daddy told me keep the heat even when I'm in foreigns, I'm heartless 'Cause these niggas is hatin' on me just because I'm the biggest, the largest The biggest, the largest (Ayy)"
"100","Criminals","Meghan Trainor","  Lock me up 'cause I've been bad, and I know I'll do it again You're the best I ever had, I'm guilty, I confess    Blue lights, red lights We gon' get real wild tonight (Come on) Blue lights, red lights with you (You, you, you)    Anything that feels this good Well, it must be illegal, it must be illegal, illegal Anything that feels this good Well, it must be illegal, it must be illegal So call us criminals, criminals (Criminal, criminal) Call us criminals, criminals (Criminal, criminal)    I've been stealin' all your time, but I know that's what you want I swear the way you blow my mind should be against the law    Blue lights (Hey), red lights We gon’ get real wild tonight Blue lights, red lights with you (You, you, you)   Anything that feels this good Well, it must be illegal, it must be illegal, illegal (Hey) Anything that feels this good Well, it must be illegal, it must be illegal So call us criminals, criminals (Criminal, criminal) Call us criminals, criminals (Baby, criminal, criminal)    Anything that feels this good must be illegal, illegal (Ho-yeah) Anything that feels this good must be illegal, illegal (Come on)    Blue lights, red lights We gon' get real wild tonight Blue lights, red lights with you    Anything that feels this good Well, it must be illegal, it must be illegal, illegal (Oh) Anything that feels this good Well, it must be illegal, it must be illegal So call us criminals, criminals (Babe, anything that feels this good must be illegal, illegal) Call us criminals, criminals (Criminal, criminal)    Anything that feels this good (Must be illegal) Well, it must be illegal, it must be illegal"
